""	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"1999-1"	305	423	1663	659
"1999-2"	292	422	1720	685
"1999-3"	310	438	1745	693
"1999-4"	306	437	1752	724
"2000-1"	320	428	1778	739
"2000-2"	310	424	1842	725
"2000-3"	325	453	1891	690
"2000-4"	305	474	1921	704
"2001-1"	311	492	1964	744
"2001-2"	316	484	2016	748
"2001-3"	351	519	2070	787
"2001-4"	348	538	2125	767
"2002-1"	359	556	2128	769
"2002-2"	366	565	2138	778
"2002-3"	379	571	2166	776
"2002-4"	396	602	2212	795
"2003-1"	399	606	2279	769
"2003-2"	394	619	2343	816
"2003-3"	395	670	2344	814
"2003-4"	390	689	2383	861
"2004-1"	393	717	2431	877
"2004-2"	398	749	2496	956
"2004-3"	382	726	2438	918
"2004-4"	375	729	2452	930
"2005-1"	367	716	2442	895
"2005-2"	353	705	2415	875
"2005-3"	376	673	2388	839
"2005-4"	367	672	2414	855
"2006-1"	363	684	2412	847
"2006-2"	376	690	2458	869
"2006-3"	384	697	2511	946
"2006-4"	389	698	2545	933
"2007-1"	393	707	2602	1011
"2007-2"	396	696	2582	967
"2007-3"	392	701	2608	992
"2007-4"	373	691	2555	962
"2008-1"	389	722	2505	943
"2008-2"	379	736	2733	924
"2008-3"	375	752	2571	859
"2008-4"	380	736	2559	806
"2009-1"	382	744	2598	832
"2009-2"	370	785	2655	866
"2009-3"	374	782	2656	864
"2009-4"	377	803	2672	861
"2010-1"	383	815	2690	910
"2010-2"	390	839	2745	907
"2010-3"	397	820	2745	898
"2010-4"	405	877	2648	869
"2011-1"	393	882	2673	843
"2011-2"	407	884	2672	856
"2011-3"	408	887	2672	872
"2011-4"	417	907	2705	826
"2012-1"	410	893	2751	817
"2012-2"	428	856	2788	848
"2012-3"	437	831	2839	858
"2012-4"	435	813	2840	857
"2013-1"	450	775	2843	820
"2013-2"	450	772	2905	838
"2013-3"	438	766	2985	824
"2013-4"	440	788	3012	798
"2014-1"	453	788	3056	812
"2014-2"	473	790	3109	798
"2014-3"	454	789	3169	795
"2014-4"	477	784	3186	807
"2015-1"	476	781	3199	835
"2015-2"	480	783	3230	856
"2015-3"	486	803	3262	847
"2015-4"	492	772	3269	859
"2016-1"	482	737	3369	898
"2016-2"	492	726	3415	868
"2016-3"	509	741	3512	891
"2016-4"	528	716	3493	869
"2017-1"	524	712	3511	876
"2017-2"	533	683	3544	858
"2017-3"	540	657	3564	864
"2017-4"	546	657	3562	860
"2018-1"	545	635	3549	833

