""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2010-01"	0.022757	23
"2010-02"	0.022757	21
"2010-03"	0.022757	22
"2010-04"	0.022757	22
"2010-05"	0.022757	23
"2010-06"	0.022757	22
"2010-07"	0.022757	24
"2010-08"	0.022757	23
"2010-09"	0.022757	21
"2010-10"	0.022757	20
"2010-11"	0.022757	25
"2010-12"	0.022757	25
"2011-01"	0.025780	28
"2011-02"	0.025780	27
"2011-03"	0.025780	26
"2011-04"	0.025780	22
"2011-05"	0.025780	23
"2011-06"	0.025780	22
"2011-07"	0.025780	24
"2011-08"	0.025780	25
"2011-09"	0.025780	31
"2011-10"	0.025780	30
"2011-11"	0.025780	23
"2011-12"	0.025780	26
"2012-01"	0.022841	28
"2012-02"	0.022841	28
"2012-03"	0.022841	26
"2012-04"	0.022841	20
"2012-05"	0.022841	21
"2012-06"	0.022841	19
"2012-07"	0.022841	17
"2012-08"	0.022841	16
"2012-09"	0.022841	19
"2012-10"	0.022841	23
"2012-11"	0.022841	26
"2012-12"	0.022841	29
"2013-01"	0.026956	25
"2013-02"	0.026956	25
"2013-03"	0.026956	24
"2013-04"	0.026956	30
"2013-05"	0.026956	31
"2013-06"	0.026956	28
"2013-07"	0.026956	28
"2013-08"	0.026956	31
"2013-09"	0.026956	30
"2013-10"	0.026956	24
"2013-11"	0.026956	23
"2013-12"	0.026956	22
"2014-01"	0.022841	24
"2014-02"	0.022841	26
"2014-03"	0.022841	26
"2014-04"	0.022841	23
"2014-05"	0.022841	23
"2014-06"	0.022841	21
"2014-07"	0.022841	21
"2014-08"	0.022841	24
"2014-09"	0.022841	20
"2014-10"	0.022841	20
"2014-11"	0.022841	21
"2014-12"	0.022841	23
"2015-01"	0.031154	25
"2015-02"	0.031154	23
"2015-03"	0.031154	25
"2015-04"	0.031154	29
"2015-05"	0.031154	30
"2015-06"	0.031154	28
"2015-07"	0.031154	32
"2015-08"	0.031154	33
"2015-09"	0.031154	35
"2015-10"	0.031154	38
"2015-11"	0.031154	41
"2015-12"	0.031154	32
"2016-01"	0.029139	28
"2016-02"	0.029139	25
"2016-03"	0.029139	25
"2016-04"	0.029139	27
"2016-05"	0.029139	29
"2016-06"	0.029139	27
"2016-07"	0.029139	26
"2016-08"	0.029139	32
"2016-09"	0.029139	34
"2016-10"	0.029139	33
"2016-11"	0.029139	30
"2016-12"	0.029139	31
"2017-01"	0.031154	28
"2017-02"	0.031154	28
"2017-03"	0.031154	34
"2017-04"	0.031154	36
"2017-05"	0.031154	32
"2017-06"	0.031154	33
"2017-07"	0.031154	31
"2017-08"	0.031154	31
"2017-09"	0.031154	31
"2017-10"	0.031154	29
"2017-11"	0.031154	29
"2017-12"	0.031154	29
"2018-01"	0.024940	25
"2018-02"	0.024940	30
"2018-03"	0.024940	29
"2018-04"	0.024940	29
"2018-05"	0.024940	29
"2018-06"	0.024940	26
"2018-07"	0.024940	27
"2018-08"	0.024940	23
"2018-09"	0.024940	20
"2018-10"	0.024940	18
"2018-11"	0.024940	18
"2018-12"	0.024940	23
"2019-01"	0.016039	18
"2019-02"	0.016039	14
"2019-03"	0.016039	15
"2019-04"	0.016039	13
"2019-05"	0.016039	12
"2019-06"	0.016039	15
"2019-07"	0.016039	14
"2019-08"	0.016039	17
"2019-09"	0.016039	18
"2019-10"	0.016039	15
"2019-11"	0.016039	21
"2019-12"	0.016039	19

