	Unter 5 Minuten	5 bis 9 Minuten	10  bis 20 Minuten	Über 20 Minuten	Weiss nicht	Keine Angabe
Familienform						
Einelternfamilie	61.8	27.2	7.0	0.0	2.9	1.1
Zweielternfamilie	65.5	25.5	6.9	0.6	0.4	1.1
Anzahl Kinder						
1 Kind	63.9	27.0	6.4	0.5	1.1	1.1
2 Kinder	64.3	25.5	7.9	0.4	0.8	1.2
3 Kinder u.m.	67.4	24.1	5.7	0.6	0.6	1.7
Alter jüngstes Kind						
0-4 Jahre	65.7	25.7	6.7	0.7	0.2	1.0
5-8 Jahre	63.2	28.0	7.4	0.5	0.0	0.8
9-12 Jahre	63.2	24.9	9.7	0.0	0.7	1.4
13-17 Jahre	66.3	24.4	4.4	0.3	2.8	1.8
Bildungsniveau Eltern						
Obligat. Schule	73.3	17.1	4.8	0.0	1.0	3.8
Sekundarstufe II	67.8	24.8	4.5	0.4	0.7	1.8
Tertiärstufe	61.7	27.7	8.5	0.6	0.8	0.6
Haushaltssprache						
ch/dt	62.5	28.0	7.6	0.5	0.8	0.6
ch/dt und andere	68.0	22.5	6.0	0.8	0.6	2.1
nur andere	67.9	23.6	6.5	0.0	1.6	0.4
Haushaltseinkommen						
<3000 Fr.	74.8	18.9	4.5	0.0	0.9	0.9
3000-7499 Fr.	69.1	23.3	4.5	0.3	0.5	2.2
>7499 Fr.	62.1	27.1	8.9	0.6	0.8	0.5
Wahlkreis						
Grossbasel Ost	63.4	25.8	7.2	1.2	1.4	1.0
Grossbasel West	62.2	29.2	6.7	0.0	0.7	1.2
Kleinbasel	72.9	20.5	4.3	0.0	0.8	1.6
Riehen, Bettingen	60.1	25.7	11.5	1.2	0.4	1.2
Befragungsjahr						
2009		80.6	14.9	2.0	1.4	1.1
2013	63.6	25.0	7.8	0.8	0.9	1.8
2017	64.8	25.7	6.9	0.5	0.8	1.3
