Jahr	Stadt Basel	Mittelwert Vergleichsstädte	Bewertung	Veränderung Stadt Basel	Veränderung Mittelwert Vergleichsstädte	Bern	Winterthur	Zürich	St. Gallen	Luzern
2012	6.4					5.3	4.6	4.7		
2013	6.5			0.1	0.2	5.3	4.9	4.7		
2014	6.3			-0.2	0.0	5.4	5.0	4.6		
2015	6.3			0.0	0.0	5.2	5.3	4.5		
2016	6.7			0.4	0.1	5.1	5.5	4.6		
2017	6.6			-0.1	0.0	5.0	5.6	4.8		
2018	6.6			0.0	-0.2	5.0	5.6	4.6		
2019	6.4	4.7		-0.2	-0.1	5.0	5.5	4.5	4.4	4.0
2020	6.1	4.7	0	-0.3	0.0	5.1	5.5	4.5	4.4	4.2
2021	5.7	4.7	0	-0.4	-0.1	5.1	5.5	4.3	4.2	4.4
2022	5.3	4.6	0	-0.4	-0.3	4.9	5.0	4.1	4.3	4.5
2023	5.1	4.3	1	-0.2	-0.4	4.6	4.8	3.8	4.1	4.2
