	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich (n=903)	10.7	33.1	10.8	1.7	38.8	4.9
Weiblich (n=1 161)	13.1	27.3	8.5	1.8	44.7	4.6
*Haushaltseinkommen						
<3 000 Fr. (n=252)	15	27.7	10.2	5.8	35.4	5.8
3 000-7 499 Fr. (n=853)	12.1	29.3	8.7	1.7	42.5	5.5
>7 499 Fr. (n=688)	10.4	31	10.7	0.9	44.4	2.6
*Wahlkreis						
Grossbasel Ost (n=570)	12.7	27.6	7.6	1.4	46.2	4.5
Grossbasel West (n=747)	11.5	29.8	9.3	1.4	44.7	3.4
Kleinbasel (n=646)	11.1	29.2	11.1	3	40.1	5.4
Riehen, Bettingen (n=278)	12.5	33.9	12.1	1.6	32.7	7.3
*Haushaltsform						
Single-HH (n=886)	10.7	25.8	6.9	1.9	48.7	6.1
Übrige HH o. K. (n=825)	11.7	29.4	10.5	1.5	42.9	4
HH Kindern (n=371)	15.7	39	13.8	2.2	26	3.3
*Alter						
18-29 Jahre (n=155)	9.9	26.1	12	2.1	47.9	2.1
30-39 Jahre (n=322)	9.5	21.6	9.2	2.9	54.9	2
40-49 Jahre (n=305)	11.2	37.1	10.9	2.4	36.1	2.4
50-59 Jahre (n=364)	10.8	32.2	11.7	1.8	38.9	4.5
60-69 Jahre (n=363)	13.5	31.8	9	1.2	40.2	4.2
>69 Jahre (n=538)	14.5	28.8	7	0.8	39	10
*Staatsangehörigkeit						
Schweiz (n=1 635)	11.5	29.8	10.1	1.8	41.6	5.2
Ausland (n=447)	14.3	28.8	8	1.8	43.9	3.3
*Befragungsjahr						
2003	0	0	0	0	0	0
2005 (N=1 510)	4.9	39	28.3	4.5	23.3	0
2007 (N=1 509)	4.2	40	27.2	2.6	26.1	0
2011 (N=1 516)	13.6	42.4	20.1	2.2	21.2	0.5
2015 (N=1 506)	10.1	45	17.8	1.1	25.9	0
2019 (N=2 108)	12.1	29.5	9.6	1.8	42.3	4.7

