<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
﻿""	"Verkehr, Lagerei"	"Gastgewerbe"	"Handel, Reparatur"	"Primärer Sektor"	"Freib., wiss., tech. DL"	"Baugewerbe"	"Öff. Verwaltung, Bildung"	"Metallprodukte"	"Maschinen"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	92.62	96.76	105.42	90.69	96.86	97.21	101.30	97.95	102.20	88.87	98.29	100.77	101.85	126.65
"2016"	89.06	94.14	105.62	91.12	99.13	98.58	100.52	98.80	102.49	85.72	101.74	105.61	108.69	155.38
"2017"	88.12	94.48	104.31	87.81	96.31	99.59	101.30	107.48	103.49	85.16	104.98	109.66	108.17	178.38
"2018"	90.47	98.07	99.88	95.70	102.48	103.81	102.45	111.27	107.20	97.22	107.64	111.04	124.10	190.63
"2019"	94.34	103.75	98.97	92.99	104.20	103.73	102.95	112.55	100.25	97.87	110.38	116.66	126.77	202.08
"2020"	74.06	54.92	97.24	93.10	100.30	105.42	106.16	97.69	90.28	85.90	115.55	115.93	126.65	210.55
"2021"	67.20	54.22	92.03	86.06	106.72	109.75	107.13	106.64	109.18	106.65	117.80	121.92	172.46	274.98
"2022"	75.44	87.24	89.46	94.67	98.80	101.92	108.42	111.23	114.70	116.91	119.26	127.93	184.99	307.63
=======
﻿""	"Gastgewerbe"	"Verkehr, Lagerei"	"Primärer Sektor"	"Handel, Reparatur"	"Metallprodukte"	"Elektronik/Optik"	"Freib., wiss., tech. DL"	"Öff. Verwaltung, Bildung"	"Maschinen"	"Baugewerbe"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	96.76	92.62	90.69	105.42	97.95	88.87	96.86	101.30	102.20	97.21	98.29	100.77	101.85	126.65
"2016"	94.14	89.06	91.12	105.62	98.80	85.72	99.13	100.52	102.49	98.58	101.74	105.61	108.69	155.38
"2017"	94.48	88.12	87.81	104.31	107.48	85.16	96.31	101.30	103.49	99.59	104.98	109.66	108.17	178.38
"2018"	98.07	90.47	95.70	99.88	111.27	97.22	102.48	102.45	107.20	103.81	107.64	111.04	124.10	190.63
"2019"	103.75	94.34	92.99	98.97	112.55	97.87	104.20	102.95	100.25	103.73	110.38	116.66	126.77	202.08
"2020"	54.92	74.06	93.10	97.24	97.69	85.90	100.30	106.16	90.28	105.42	115.55	115.93	126.65	210.55
"2021"	54.23	67.20	86.00	92.03	106.64	106.65	106.72	107.13	109.18	109.77	117.80	121.92	172.46	274.98
>>>>>>> parent of 9509df84eb (some changes)
=======
﻿""	"Verkehr, Lagerei"	"Gastgewerbe"	"Handel, Reparatur"	"Primärer Sektor"	"Freib., wiss., tech. DL"	"Baugewerbe"	"Öff. Verwaltung, Bildung"	"Metallprodukte"	"Maschinen"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
=======
﻿""	"Verkehr, Lagerei"	"Gastgewerbe"	"Handel, Reparatur"	"Primärer Sektor"	"Freib., wiss., tech. DL"	"Baugewerbe"	"Öff. Verwaltung, Bildung"	"Metallprodukte"	"Maschinen"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f
"2015"	92.62	96.76	105.42	90.69	96.86	97.21	101.30	97.95	102.20	88.87	98.29	100.77	101.85	126.65
"2016"	89.06	94.14	105.62	91.12	99.13	98.58	100.52	98.80	102.49	85.72	101.74	105.61	108.69	155.38
"2017"	88.12	94.48	104.31	87.81	96.31	99.59	101.30	107.48	103.49	85.16	104.98	109.66	108.17	178.38
"2018"	90.47	98.07	99.88	95.70	102.48	103.81	102.45	111.27	107.20	97.22	107.64	111.04	124.10	190.63
"2019"	94.34	103.75	98.97	92.99	104.20	103.73	102.95	112.55	100.25	97.87	110.38	116.66	126.77	202.08
"2020"	74.06	54.92	97.24	93.10	100.30	105.42	106.16	97.69	90.28	85.90	115.55	115.93	126.65	210.55
"2021"	67.20	54.22	92.03	86.06	106.72	109.75	107.13	106.64	109.18	106.65	117.80	121.92	172.46	274.98
"2022"	75.44	87.24	89.46	94.67	98.80	101.92	108.42	111.23	114.70	116.91	119.26	127.93	184.99	307.63
<<<<<<< HEAD
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f
=======
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f

