	nach Hause	Akutspital	Psychiatrische Klinik	Rehabilitationsklinik	Sozialmedizinische institution	Todesfall	Andere	Unbekannt
0 bis 9 J.	7772	534		14	1	40	11	4
10 bis 19 J.	2448	24	30	16	24	2	11	8
20 bis 29 J.	3938	63	63	40	45	7	59	17
30 bis 39 J.	6550	113	82	59	70	14	64	9
40 bis 49 J.	5040	91	100	160	112	28	37	21
50 bis 59 J.	7184	173	124	431	143	104	62	12
60 bis 69 J.	7659	353	87	909	220	227	36	2
70 bis 79 J.	8126	917	51	1697	494	407	71	6
80 bis 89 J.	5722	1601	38	2017	1071	524	79	2
90 J. u.m.	1030	591	12	562	634	197	13	2
