""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2010-01"	0.039831	35
"2010-02"	0.039831	39
"2010-03"	0.039831	38
"2010-04"	0.039831	35
"2010-05"	0.039831	38
"2010-06"	0.039831	33
"2010-07"	0.039831	32
"2010-08"	0.039831	31
"2010-09"	0.039831	30
"2010-10"	0.039831	29
"2010-11"	0.039831	33
"2010-12"	0.039831	33
"2011-01"	0.046663	30
"2011-02"	0.046663	30
"2011-03"	0.046663	28
"2011-04"	0.046663	24
"2011-05"	0.046663	23
"2011-06"	0.046663	24
"2011-07"	0.046663	25
"2011-08"	0.046663	22
"2011-09"	0.046663	25
"2011-10"	0.046663	30
"2011-11"	0.046663	32
"2011-12"	0.046663	30
"2012-01"	0.049133	23
"2012-02"	0.049133	24
"2012-03"	0.049133	26
"2012-04"	0.049133	29
"2012-05"	0.049133	37
"2012-06"	0.049133	39
"2012-07"	0.049133	42
"2012-08"	0.049133	39
"2012-09"	0.049133	32
"2012-10"	0.049133	31
"2012-11"	0.049133	33
"2012-12"	0.049133	30
"2013-01"	0.048540	35
"2013-02"	0.048540	35
"2013-03"	0.048540	34
"2013-04"	0.048540	36
"2013-05"	0.048540	42
"2013-06"	0.048540	43
"2013-07"	0.048540	43
"2013-08"	0.048540	40
"2013-09"	0.048540	40
"2013-10"	0.048540	43
"2013-11"	0.048540	40
"2013-12"	0.048540	36
"2014-01"	0.078462	32
"2014-02"	0.078462	33
"2014-03"	0.078462	39
"2014-04"	0.078462	41
"2014-05"	0.078462	48
"2014-06"	0.078462	49
"2014-07"	0.078462	52
"2014-08"	0.078462	48
"2014-09"	0.078462	49
"2014-10"	0.078462	45
"2014-11"	0.078462	46
"2014-12"	0.078462	50
"2015-01"	0.110173	52
"2015-02"	0.110173	54
"2015-03"	0.110173	54
"2015-04"	0.110173	55
"2015-05"	0.110173	56
"2015-06"	0.110173	56
"2015-07"	0.110173	49
"2015-08"	0.110173	55
"2015-09"	0.110173	53
"2015-10"	0.110173	58
"2015-11"	0.110173	54
"2015-12"	0.110173	51
"2016-01"	0.088051	52
"2016-02"	0.088051	53
"2016-03"	0.088051	54
"2016-04"	0.088051	57
"2016-05"	0.088051	53
"2016-06"	0.088051	59
"2016-07"	0.088051	56
"2016-08"	0.088051	47
"2016-09"	0.088051	43
"2016-10"	0.088051	49
"2016-11"	0.088051	53
"2016-12"	0.088051	51
"2017-01"	0.109662	57
"2017-02"	0.109662	55
"2017-03"	0.109662	52
"2017-04"	0.109662	52
"2017-05"	0.109662	59
"2017-06"	0.109662	60
"2017-07"	0.109662	59
"2017-08"	0.109662	59
"2017-09"	0.109662	48
"2017-10"	0.109662	44
"2017-11"	0.109662	48
"2017-12"	0.109662	45
"2018-01"	0.081791	44
"2018-02"	0.081791	43
"2018-03"	0.081791	43
"2018-04"	0.081791	42
"2018-05"	0.081791	48
"2018-06"	0.081791	52
"2018-07"	0.081791	51
"2018-08"	0.081791	58
"2018-09"	0.081791	59
"2018-10"	0.081791	63
"2018-11"	0.081791	60

