"lat"	"lon"	"Spitalname"	"Anzahl Austritte"
47.56256072992121	7.583231613532838	Universitätsspital Basel (USB)	41110
47.566559284535565	7.614203735547821	St. Claraspital	11836
47.5555251052925	7.570044281131091	Merian Iselin Klinik	7323
47.548183719135636	7.617299435836332	Bethesda Spital AG	6875
47.56380772895372	7.581864225978405	Universitäts-Kinderspital beider Basel (UKBB)	5849
47.56550086039521	7.565326413811343	Felix Platter-Spital	5774
47.571260378399245	7.565914732488717	Universitäre Psychiatrische Kliniken Basel (UPK)	2901
47.56015005377136	7.579577191607747	Adullam Spital	2703
47.56582348350639	7.591269216725412	Matthea Geburtshaus	726
47.57274386924855	7.559156843389897	REHAB Basel	514
47.584794684903706	7.657033350321054	Klinik Sonnenhalde	490
47.55045916383189	7.610654986824123	Palliativzentrum Hildegard	414
47.566573660933834	7.615025112792847	Zurzach Care AG	372
47.55117617569023	7.593281111227076	SMN-Schmerzklinik Basel	185
