"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Übrige Länder"
"2000"	24.8	26.4	25.3	31.0	26.6	48.8	21.0	27.1
"2001"	23.6	22.4	25.3	31.6	26.3	49.3	19.2	28.3
"2002"	22.1	23.4	24.5	31.1	24.7	50.5	19.2	24.5
"2003"	23.1	23.5	24.2	33.7	24.2	46.8	20.7	23.0
"2004"	22.8	20.9	24.3	29.6	24.1	38.9	20.5	21.5
"2005"	22.8	20.3	23.9	31.0	24.0	41.2	20.5	21.6
"2006"	21.7	20.5	23.3	31.5	22.7	35.6	18.1	23.7
"2007"	21.5	19.2	22.7	30.9	25.5	36.4	19.4	20.0
"2008"	20.6	20.8	22.1	30.8	27.6	35.4	18.7	20.5
"2009"	20.6	20.4	22.1	27.7	28.1	36.8	18.5	26.8
"2010"	21.4	22.0	22.1	28.0	28.0	37.4	17.6	23.4
"2011"	21.4	18.9	20.8	27.7	27.4	39.6	16.8	24.0
"2012"	20.9	22.5	19.2	26.5	26.3	35.5	16.5	23.6
"2013"	20.2	24.5	19.6	29.1	24.8	35.3	18.3	21.6
"2014"	19.7	19.8	18.2	28.1	23.5	36.4	18.3	21.2
"2015"	19.3	18.9	20.2	27.3	21.9	32.5	17.8	24.4
"2016"	19.2	20.4	17.9	26.4	22.3	28.7	19.1	24.0
"2017"	18.4	16.7	18.3	24.6	22.5	30.1	19.9	26.8
"2018"	16.7	16.1	18.0	24.9	22.6	30.7	20.0	24.9
"2019"	15.9	15.7	18.1	24.3	20.1	29.0	20.0	23.1

