Jahr	Bauzonen	Bauzonen mit pot. Wohnnutzung	Kantonsfläche	Bauzonen (index)	Bauzonen mit pot. Wohnnutzung (index)	Bauzonen, Veränderungen zum Vorjahr (in ha)	Bauzonen mit pot. Wohnnutzung , Veränderungen zum Vorjahr (in ha)	Bauzonen, Veränderungen zum Vorjahr (in m2)	Bauzonen mit pot. Wohnnutzung,  Veränderungen zum Vorjahr (in m2)
2005	1445.027	1265.030	3695.710	100.000	100.000				
2006	1445.044	1265.047	3695.710	100.001	100.001	0.0174	0.0175	174	175
2007	1445.040	1265.040	3695.710	100.001	100.001	-0.0044	-0.0072	-44	-72
2008	1446.634	1264.979	3695.710	100.111	99.996	1.5942	-0.0611	15942	-611
2009	1446.634	1264.979	3695.710	100.111	99.996	0.0000	0.0000	0	0
2010	1445.878	1263.578	3695.710	100.059	99.885	-0.7565	-1.4008	-7565	-14008
2011	1445.878	1263.578	3695.710	100.059	99.885	0.0000	0.0000	0	0
2012	1445.610	1269.091	3695.710	100.040	100.321	-0.2673	5.5128	-2673	55128
2013	1446.240	1269.720	3695.710	100.084	100.371	0.6296	0.6290	6296	6290
2014	1447.751	1274.991	3695.710	100.189	100.787	1.5111	5.2708	15111	52708
2015	1447.705	1274.945	3695.710	100.185	100.784	-0.0463	-0.0463	-463	-463
2016	1447.820	1275.060	3589.530	100.193	100.793	0.1153	0.1155	1153	1155
2017	1449.700	1274.090	3589.530	100.323	100.716	1.8800	-0.9700	18800	-9700
2018	1449.749	1274.166	3589.526	100.327	100.722	0.0494	0.0760	494	760
