<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
﻿""	"Gastgewerbe"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Primärer Sektor"	"Baugewerbe"	"Freib., wiss., tech. DL"	"Finanz-, Versicherungs-DL"	"Öff. Verwaltung, Bildung"	"Metallprodukte"	"Maschinen"	"Gesundheits-, Sozialwesen"	"Elektronik/Optik"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	93.98	105.07	99.01	90.02	94.93	97.66	89.77	101.14	97.19	102.02	101.48	92.20	104.68	125.70
"2016"	93.37	103.99	95.09	90.68	97.00	103.34	96.92	100.27	101.42	102.14	105.10	91.54	121.34	152.55
"2017"	92.16	102.15	94.22	87.72	98.50	96.49	98.01	100.69	109.63	102.61	108.85	98.29	118.31	169.98
"2018"	94.00	96.45	94.50	101.60	104.38	102.26	98.71	101.01	111.53	105.93	111.30	110.45	134.61	181.70
"2019"	96.85	94.72	94.94	93.15	106.59	104.08	100.64	101.67	111.90	99.13	116.74	112.62	130.60	199.11
"2020"	56.56	93.39	79.68	91.46	103.70	97.71	105.33	105.78	96.60	89.30	115.17	102.70	137.28	219.46
"2021"	53.12	87.69	79.94	83.14	110.66	117.44	107.78	106.16	103.39	108.87	120.79	122.96	157.50	275.16
"2022"	76.13	85.01	86.76	94.22	105.82	106.36	107.24	107.52	107.96	113.59	127.14	136.00	171.87	309.85
=======
﻿""	"Gastgewerbe"	"Verkehr, Lagerei"	"Primärer Sektor"	"Handel, Reparatur"	"Metallprodukte"	"Öff. Verwaltung, Bildung"	"Finanz-, Versicherungs-DL"	"Maschinen"	"Baugewerbe"	"Freib., wiss., tech. DL"	"Gesundheits-, Sozialwesen"	"Elektronik/Optik"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	93.98	99.01	90.02	105.07	97.19	101.14	89.77	102.02	94.93	97.66	101.48	92.20	104.68	125.70
"2016"	93.37	95.09	90.68	103.99	101.42	100.27	96.92	102.14	97.00	103.34	105.10	91.54	121.34	152.55
"2017"	92.16	94.22	87.72	102.15	109.63	100.69	98.01	102.61	98.50	96.49	108.85	98.29	118.31	169.98
"2018"	94.00	94.50	101.60	96.45	111.53	101.01	98.71	105.93	104.38	102.26	111.30	110.45	134.61	181.70
"2019"	96.85	94.94	93.15	94.72	111.90	101.67	100.64	99.13	106.59	104.08	116.74	112.62	130.60	199.11
"2020"	56.56	79.68	91.46	93.39	96.60	105.78	105.33	89.30	103.70	97.71	115.17	102.70	137.28	219.46
"2021"	53.12	79.94	83.15	87.69	103.39	106.16	107.78	108.87	110.68	117.44	120.79	122.96	157.50	275.16
>>>>>>> parent of 9509df84eb (some changes)
=======
﻿""	"Gastgewerbe"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Primärer Sektor"	"Baugewerbe"	"Freib., wiss., tech. DL"	"Finanz-, Versicherungs-DL"	"Öff. Verwaltung, Bildung"	"Metallprodukte"	"Maschinen"	"Gesundheits-, Sozialwesen"	"Elektronik/Optik"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
=======
﻿""	"Gastgewerbe"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Primärer Sektor"	"Baugewerbe"	"Freib., wiss., tech. DL"	"Finanz-, Versicherungs-DL"	"Öff. Verwaltung, Bildung"	"Metallprodukte"	"Maschinen"	"Gesundheits-, Sozialwesen"	"Elektronik/Optik"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f
"2015"	93.98	105.07	99.01	90.02	94.93	97.66	89.77	101.14	97.19	102.02	101.48	92.20	104.68	125.70
"2016"	93.37	103.99	95.09	90.68	97.00	103.34	96.92	100.27	101.42	102.14	105.10	91.54	121.34	152.55
"2017"	92.16	102.15	94.22	87.72	98.50	96.49	98.01	100.69	109.63	102.61	108.85	98.29	118.31	169.98
"2018"	94.00	96.45	94.50	101.60	104.38	102.26	98.71	101.01	111.53	105.93	111.30	110.45	134.61	181.70
"2019"	96.85	94.72	94.94	93.15	106.59	104.08	100.64	101.67	111.90	99.13	116.74	112.62	130.60	199.11
"2020"	56.56	93.39	79.68	91.46	103.70	97.71	105.33	105.78	96.60	89.30	115.17	102.70	137.28	219.46
"2021"	53.12	87.69	79.94	83.14	110.66	117.44	107.78	106.16	103.39	108.87	120.79	122.96	157.50	275.16
"2022"	76.13	85.01	86.76	94.22	105.82	106.36	107.24	107.52	107.96	113.59	127.14	136.00	171.87	309.85
<<<<<<< HEAD
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f
=======
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f

