""	Alimentenbevorschussung	Arbeitslosenhilfe	Beihilfen zur AHV	Beihilfen zur IV	EL zur AHV	EL zur IV	Familienmietzinsbeiträge	Prämienverbilligung	Stationäre Jugenhilfe	Stipendien	Tagesbetreuung	 Sozialhilfe	 Behindertenhilfe
2000	2.78	0.07	29.30	7.35	78.76	46.04	1.42	74.27		9.04	17.44	70.2	
2001	2.48	0.05	26.86	7.19	79.38	49.76	1.47	77.70		9.46	16.89	70.3	
2002	2.75	0.04	29.94	9.62	77.47	53.44	1.23	82.71	40.00	9.65	17.80	73.0	
2003	2.75	1.63	25.51	9.39	79.01	58.72	1.04	91.16	40.00	10.05	18.43	91.0	
2004	3.12	5.00	23.13	10.76	79.45	65.34	1.04	95.26	39.00	10.23	19.91	113.9	
2005	3.40	3.48	20.95	9.88	78.99	70.57	0.90	97.08	40.50	10.22	19.54	127.0	
2006	3.40	2.91	18.81	11.12	79.10	77.03	0.75	95.52	42.10	11.27	20.20	126.9	
2007	3.30	1.87	17.89	10.48	82.57	79.08	0.57	101.79	44.00	11.60	22.07	118.2	
2008	3.24	0.51	5.10	6.30	105.50	93.50	0.58	97.32	45.00	11.85	23.73	108.6	
2009	3.19	0.41	5.20	6.20	112.60	97.30	1.94	102.48	47.50	11.60	25.39	106.5	
2010	3.80	0.47	5.50	6.20	114.80	99.30	3.11	107.13	48.80	11.75	27.79	112.6	70.7
2011	4.02	1.28	4.80	5.30	107.70	109.00	4.25	115.74	48.20	11.70	29.30	116.1	73.4
2012	4.16	1.58	5.00	5.40	115.90	113.60	5.18	126.17	48.20	11.61	32.00	122.5	79.8
2013	4.24	1.71	4.60	4.90	121.30	116.00	8.09	116.15	47.20	11.41	33.10	126.6	80.4
2014	4.14	1.74	4.70	4.80	119.30	110.40	8.91	141.89	49.10	11.91	34.90	129.6	79.8
2015	3.46	1.65	4.80	4.70	121.50	107.80	9.53	153.43	46.80	12.04	36.30	134.3	80.3
2016	3.69	1.93	5.00	4.70	126.80	110.30	10.11	159.73	41.30	11.84	37.80	142.4	81.7
2017	3.66	2.00	5.10	4.60	128.90	96.20	10.70	169.92	39.50	11.70	38.80	145.0	98.6
2018	3.48	1.44	5.30	4.60	135.60	101.70	11.18	178.53	38.50	11.18	40.10	143.44	102.8
