in %	Oblig. Schule	Berufsvorb. Schule	Berufslehre	DMS	Matura	Seminar	Höhere Fachschule	Universität	Andere Ausbildung	Keine Angabe
weibl.	11.6	1.2	40	1.1	6.5	3.4	17.8	17.8	0.4	0.1
männl.	6.4	0.6	36.3	1.7	7.1	0.7	19.3	27	0.6	0.1
Schw.	8.6	1	39.5	1.4	6.7	2.4	19.1	20.7	0.5	0.2
Ausl.	14.5	0.6	28.9	1.7	7.5	0.6	13.9	32.4	 	 
18-29	14.4	3.1	22.7	1	37.1	 	9.3	12.4	 	 
30-39	4.2	0.8	29.2	3.3	7.5	 	19.2	35	0.8	 
40-49	8	1.1	26.4	1.7	5.7	1.1	24.7	30.5	0.6	 
50-59	6.2	 	31.1	1.8	4.4	4	24.2	27.8	0.4	 
60-69	5.1	0.3	41.9	0.6	4.5	2.4	20.4	24	0.3	0.6
70u.m.	14.2	1.4	49	1.2	3.9	2.4	13.8	13.6	0.6	 
