""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger sonst. wirtsch. DL"	"Bestand Meldepflichtige in VZÄ"
"2015-01"	"."	1755	"."
"2015-02"	1	1881	"."
"2015-03"	"."	1992	"."
"2015-04"	"."	2042	"."
"2016-01"	"."	1960	"."
"2016-02"	"."	2044	"."
"2016-03"	"."	2063	"."
"2016-04"	"."	2103	"."
"2017-01"	"."	2063	"."
"2017-02"	"."	2147	1
"2017-03"	"."	2359	1
"2017-04"	"."	2281	1
"2018-01"	"."	2301	"."
"2018-02"	"."	2346	1
"2018-03"	"."	2362	1
"2018-04"	1	2396	1
"2019-01"	"."	2417	0
"2019-02"	"."	2440	1
"2019-03"	"."	2410	2
"2019-04"	"."	2569	1
"2020-01"	"."	2504	1
"2020-02"	"."	2483	3
"2020-03"	"."	2581	1
"2020-04"	"."	2564	3
"2021-01"	"."	2531	2
"2021-02"	"."	2486	4
"2021-03"	"."	2555	3
"2021-04"	"."	2603	1
"2022-01"	1	2661	"."
"2022-02"	"."	2707	1
"2022-03"	"."	2682	0
"2022-04"	"."	2742	0
"2023-01"	"."	2814	0
"2023-02"	"."	2819	3
"2023-03"	"."	2936	2
"2023-04"	"."	2855	1
"2024-01"	1	2841	3
"2024-02"	"."	2934	5
"2024-03"	1	2972	0
"2024-04"	"."	3063	0

