	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
Einpersonenhaushalt	0.2	1	0.4	52.8	23.7	21.9
Mehrpersonenhaushalt	0	0.2	0.3	69.6	14.8	15.1
.						
Männlich	0.1	0.8	0.4	58.1	20.6	20.1
Weiblich	0	0.2	0.3	70.7	14.8	14
..						
55-64	0.2	0.8	0.4	76.7	12.4	9.4
65-74	0	0.2	0.2	62.5	22.9	14.1
>74	0	0.4	0.4	51.4	18.6	29.2
...						
Schweiz	0	0.5	0.4	63.1	18.2	17.9
Ausland	0.9	0.9	0	68.2	15.9	14
....						
<5000 Fr.	0.2	0.9	0.4	50.3	23.5	24.6
5000- 7499 Fr.	0	0	0.3	66.7	17.4	15.6
>7499 Fr.	0	0.2	0.4	76.8	12.5	10
.....						
Grossbasel Ost	0	0.5	0.5	61.4	20.8	16.8
Grossbasel West	0.2	0.2	0.2	63.7	19.2	16.4
Kleinbasel	0	1	0	62.5	17.7	18.8
Riehen, Bettingen	0	0.4	0.8	69.8	11.9	17.1
......						
2011	0.1	0.2	0.1	60.9	16.8	21.9
2015	0.1	0.5	0.4	63.6	17.9	17.5
