Jahr	Total Studierende Universität Basell	Männer Universität Basel	Frauen  Universität Basel	Total Studierende FHNW	Männer FHNW	Frauen FHNW
2006	10297	4652	5645	6162	3196	2966
2007	11207	4964	6243	6520	3318	3202
2008	11836	5263	6573	7435	3722	3713
2009	12109	5396	6713	8172	4122	4050
2010	12377	5514	6863	8660	4314	4346
2011	12617	5613	7004	8894	4443	4451
2012	12995	5837	7158	9436	4658	4778
2013	13273	5989	7284	10003	4857	5146
2014	13248	5971	7277	10534	5101	5433
2015	13430	5946	7484	11262	5493	5769
