	Stimmt genau	Stimmt eher	Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
Familienform						
Einelternfamilie	51.1	37.9	4.0	2.6	2.2	2.2
Zweielternfamilie	57.7	34.7	3.9	0.7	1.5	1.5
Anzahl Kinder						
1 Kind	52.7	36.7	5.0	1.8	2.8	1.1
2 Kinder	56.7	35.7	3.6	0.8	1.1	2.1
3 Kinder u.m.	61.8	30.9	2.8	0.6	1.4	2.5
Alter jüngstes Kind						
0-4 Jahre	49.5	39.0	5.7	1.0	2.5	2.3
5-8 Jahre	58.0	34.6	3.0	1.6	1.1	1.6
9-12 Jahre	65.0	28.5	2.5	1.1	1.1	1.8
13-17 Jahre	60.2	33.7	2.8	0.5	1.5	1.3
Bildungsniveau Eltern						
Obligat. Schule	48.6	30.5	5.7	7.6	2.9	4.8
Sekundarstufe II	54.8	36.9	3.6	0.7	1.6	2.4
Tertiärstufe	58.5	34.4	4.0	0.6	1.5	1.0
Haushaltssprache						
ch/dt	60.3	34.3	2.5	0.5	1.5	0.9
ch/dt und andere	55.6	34.3	4.8	1.6	1.4	2.3
nur andere	44.7	39.8	6.5	2.4	3.7	2.8
Haushaltseinkommen						
<3000 Fr.	44.1	37.8	6.3	3.6	2.7	5.4
3000-7499 Fr.	54.8	34.8	5.0	2.1	1.2	2.1
>7499 Fr.	58.5	35.6	2.6	0.2	2.1	1.1
Wahlkreis						
Grossbasel Ost	55.9	36.6	2.9	1.0	1.7	1.9
Grossbasel West	55.6	34.9	4.3	0.7	2.6	2.1
Kleinbasel	51.6	37.8	5.3	2.1	1.3	1.9
Riehen, Bettingen	65.6	28.9	3.2	-	0.8	1.6
Befragungsjahr						
2009	54.8	35.7	4.9	1.3	1.3	2.1
2013	54.1	35.5	4.9	1.2	1.5	2.7
2017	56.4	35.0	3.9	1.1	1.7	1.9
