"Branche"	"2017"	"2018"	"2019"
"Industrie (exkl. Chemie, Pharma)"	0.054	0.048	0.050
"Chemie, Pharma"	0.022	0.020	0.019
"Baugewerbe"	0.111	0.107	0.111
"Handel, Reparatur"	0.042	0.039	0.033
"Verkehr, Lagerei"	0.050	0.044	0.039
"Gastgewerbe"	0.081	0.076	0.069
"Information, Kommunikation"	0.034	0.034	0.040
"Finanz-, Versicherungs-DL"	0.032	0.029	0.028
"Beratung, Planung, Forschung, Immobilien"	0.032	0.030	0.028
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.065	0.060	0.053
"Personalvermittlung, -überlassung"	0.032	0.030	0.027
"Öffentliche Verwaltung, Sozialversicherungen"	0.027	0.025	0.018
"Erziehung, Unterricht"	0.021	0.020	0.016
"Gesundheits-, Sozialwesen"	0.030	0.029	0.026
"Kultur, Unterhaltung, pers. DL"	0.036	0.031	0.030
"Total"	0.038	0.034	0.031

