Spitalname lang	Spitalname kurz	CMI	PCCL	Farbe
Adullam Spital	Adullam	1.58	1.11	#ff8028
Bethesda Spital	Bethesda	0.68	0.2	#67401e
Felix Platter-Spital	Felix Platter	1.54	1.85	#3366ff
Matthea Geburtshaus	Matthea	0.35	0.04	#fabd24
Merian Iselin Klinik	Merian Iselin	1.04	0.19	#cd9c00
Palliativzentrum Hildegard	Hildegard	2.37	1.81	#007a2f
Schmerzklinik Basel	Schmerzklinik	1.56	0.38	#73b97c
St. Claraspital	St. Claraspital	1.04	0.96	#e7cee2
Universitäts-Kinderspital beider Basel	UKBB	1.22	0.38	#662673
Universitätsspital Basel 	USB	1.31	1.16	#d60909
Alle Spitäler	Alle	1.26	0.93	#010101
