Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2011: 18-29 J.	18	24	74	50	6	3	4	0	0	0
2011: 30-39 J.	15	21	69	52	7	3	0	2	1	1
2011: 40-49 J.	22	33	92	59	17	12	1	0	0	1
2011: 50-59 J.	25	31	116	60	15	18	5	1	1	0
2011: 60-69 J.	37	27	93	53	21	24	3	3	0	1
2011: > 69 J.	86	32	138	53	27	36	7	7	2	4
.										
2015: 18-29 J.	11	17	43	20	4	1	0	1	0	0
2015: 30-39 J.	14	23	48	25	3	3	3	0	0	1
2015: 40-49 J.	14	32	76	32	5	7	4	3	0	0
2015: 50-59 J.	30	50	101	51	23	13	2	1	1	0
2015: 60-69 J.	32	44	136	66	24	18	6	3	0	1
2015: > 69 J.	72	57	186	87	34	51	1	6	1	2
