	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH	4.3	15	15.4	35	9.5	20.8
Mehrpersonen-HH	3	19.3	17.8	36.3	5.6	17.9
*Geschlecht						
Männlich	1.8	18.7	19.1	38.9	6.2	15.3
Weiblich	4.8	17.2	15.4	33.4	7.7	21.6
*Alter						
55-64 Jahre	2.7	19.9	22.6	38.8	5.2	10.7
65-74 Jahre	4.4	21.1	18.7	34.9	5.7	15.2
>74 Jahre	3.2	12.5	9.5	33.3	10.2	31.3
*Staatsangehörigkeit						
Schweiz	3.7	18.1	17.3	34.9	6.9	19.1
Ausland	1.9	14	13.1	45.8	8.4	16.8
*Haushaltseinkommen						
<5 000 Fr.	3.6	17.4	15	35.3	8.7	19.9
5 000-7 499 Fr.	4	16.5	15.3	40.1	4.3	19.9
>7 499 Fr.	3.3	20.9	21.2	35.6	5.3	13.6
*Wahlkreis						
Grossbasel Ost	2.7	16.1	17.3	38.6	8.7	16.6
Grossbasel West	3.9	18.9	16.9	36.1	5.9	18.3
Kleinbasel	3.8	17.4	17.4	33.3	7.6	20.5
Riehen, Bettingen	3.2	19.4	16.7	34.9	5.2	20.6
*Befragungsjahr						
2011	2.1	13	13.6	38.9	0.1	32.3
2015	3.5	17.8	17.0	35.8	7	18.9
