	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich	17.4	32	22.7	8.8	14	4.9
Weiblich	18.2	37.4	20.2	4.4	15.9	4.1
*Haushaltseinkommen						
<3 000 Fr.	20.1	29.7	21	9.2	12.7	7.4
3 000-7 499 Fr.	19	35.5	21.4	6.2	13.1	4.8
>7 499 Fr.	15.8	36.3	22.7	6.3	17	1.8
*Wahlkreis						
Grossbasel Ost	17.9	36.5	22.9	4.4	14.4	3.8
Grossbasel West	17.5	36	19.4	7	16.9	3.3
Kleinbasel	16.9	31.3	24.7	8.2	12.1	6.8
Riehen, Bettingen	18.7	36.1	19	6	15.5	4.8
*Haushaltsform						
Single-HH	18.3	33.8	19.9	6.3	15.9	5.8
Übrige HH o. K.	16.9	36.1	21.4	4.7	17.2	3.7
HH m. mind. 1 K.	18.7	35.1	24.5	10	8.6	3.1
*Alter						
18-29 Jahre	11.6	31.3	24.5	10.9	19.7	2
30-39 Jahre	14.3	36.9	27.7	10.5	8	2.5
40-49 Jahre	18.9	34	25.3	8.1	11.8	2
50-59 Jahre	13.1	35.3	21.9	8	16.2	5.4
60-69 Jahre	17.4	38.3	19.4	3.8	16.8	4.3
>69 Jahre	25.6	32.6	14.1	1.4	18.7	7.6
*Staatsangehörigkeit						
Schweiz	17.6	34	21.4	6.3	16.2	4.6
Ausland	18.4	38	22.6	6.5	10.3	4.2
*Befragungsjahr						
2003	12.8	41.4	23.6	3.4	18.9	0
2005	11.7	45.7	25.4	2.8	14.4	0
2007	11.5	50.5	18.9	1.6	17.6	0
2011	18.8	46.5	22.1	1.9	10.5	0.1
2015	11	39.8	28.9	5.8	14.6	0
2019	17.9	34.8	21.5	6.3	14.9	4.5
