	Stimmt genau	Stimmt eher	Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
Familienform						
Einelternfamilie	10.7	19.1	26.8	32.7	3.7	7.0
Zweielternfamilie	21.9	27.4	24.9	17.9	3.1	4.7
Anzahl Kinder						
1 Kind	19.6	26.9	25.8	20.1	2.7	5.0
2 Kinder	19.9	26.8	24.5	20.4	2.9	5.5
3 Kinder u.m.	21.0	22.7	24.9	21.5	5.7	4.2
Alter jüngstes Kind						
0-4 Jahre	19.3	23.9	26.6	23.1	2.8	4.3
5-8 Jahre	21.7	28.6	21.4	19.5	3.8	4.9
9-12 Jahre	23.8	22.7	26.7	17.3	3.6	5.8
13-17 Jahre	17.0	29.0	25.4	20.1	3.6	4.9
Bildungsniveau Eltern						
Obligat. Schule	6.7	18.1	26.7	21.0	6.7	21.0
Sekundarstufe II	11.4	25.7	28.6	24.4	3.8	6.1
Tertiärstufe	26.3	27.2	23.0	18.1	2.8	2.5
Haushaltssprache						
ch/dt	21.8	25.5	26.6	21.0	2.5	2.5
ch/dt und andere	17.8	26.7	25.4	20.3	3.3	6.4
nur andere	18.3	25.2	19.5	18.7	6.5	11.8
Haushaltseinkommen						
<3000 Fr.	2.7	16.2	31.5	32.4	3.6	13.5
3000-7499 Fr.	8.6	24.1	29.8	29.0	3.1	5.3
>7499 Fr.	31.1	29.5	21.6	14.0	2.1	1.6
Wahlkreis						
Grossbasel Ost	18.6	27.5	24.6	23.1	2.2	4.1
Grossbasel West	21.0	25.6	23.4	20.7	4.4	4.8
Kleinbasel	17.6	23.7	28.7	19.1	3.5	7.4
Riehen, Bettingen	24.1	27.3	25.3	17.8	2.4	3.2
Befragungsjahr						
2009	19.3	24.6	21.9	22.3	3.7	8.3
2013	19.1	29.0	19.0	21.9	4.1	6.9
2017	20.0	25.9	25.0	20.5	3.4	5.0
