Jahr	Altersquote	20-64 Jährige	65 und älter
2006	500.468505986465	7684	38456
2006	922.20623501199	4170	38456
2006	388.522933926045	9898	38456
2006	327.815190520842	11731	38456
2006	683.662222222222	5625	38456
2006	819.433198380566	4693	38456
2006	2511.822338340953	1531	38456
2006	1102.839116719242	3487	38456
2006	5333.703190013869	721	38456
2006	347.044490569443	11081	38456
2006	826.122448979591	4655	38456
2006	2359.263803680981	1630	38456
2006	340.891764914457	11281	38456
2006	1553.150242326332	2476	38456
2006	823.998285836725	4667	38456
2006	2543.386243386243	1512	38456
2006	1255.501142670584	3063	38456
2006	577.417417417417	6660	38456
2006	738.970023059185	5204	38456
2006	300.507931546456	12797	38456
2006	1173.154362416107	3278	38456
2006	41.059344091618	7684	3155
2006	75.659472422062	4170	3155
2006	31.875126288139	9898	3155
2006	26.894552894041	11731	3155
2006	56.088888888888	5625	3155
2006	67.227786064351	4693	3155
2006	206.074461136512	1531	3155
2006	90.478921709205	3487	3155
2006	437.5866851595	721	3155
2006	28.472159552386	11081	3155
2006	67.776584317937	4655	3155
2006	193.558282208588	1630	3155
2006	27.967378778477	11281	3155
2006	127.423263327948	2476	3155
2006	67.602314120419	4667	3155
2006	208.664021164021	1512	3155
2006	103.003591250408	3063	3155
2006	47.372372372372	6660	3155
2006	60.626441199077	5204	3155
2006	24.654215831835	12797	3155
2006	96.247712019524	3278	3155
2006	18.987506507027	7684	1459
2006	34.988009592326	4170	1459
2006	14.740351586179	9898	1459
2006	12.43713238428	11731	1459
2006	25.937777777777	5625	1459
2006	31.088855742595	4693	1459
2006	95.297191378184	1531	1459
2006	41.841124175509	3487	1459
2006	202.357836338418	721	1459
2006	13.166681707427	11081	1459
2006	31.342642320085	4655	1459
2006	89.509202453987	1630	1459
2006	12.933250598351	11281	1459
2006	58.925686591276	2476	1459
2006	31.26205271052	4667	1459
2006	96.494708994708	1512	1459
2006	47.633039503754	3063	1459
2006	21.906906906906	6660	1459
2006	28.036126056879	5204	1459
2006	11.40110963507	12797	1459
2006	44.50884685784	3278	1459
2006	41.293597084851	7684	3173
2006	76.091127098321	4170	3173
2006	32.056981208324	9898	3173
2006	27.047992498508	11731	3173
2006	56.408888888888	5625	3173
2006	67.611336032388	4693	3173
2006	207.250163291966	1531	3173
2006	90.995124749067	3487	3173
2006	440.08321775312	721	3173
2006	28.634599765364	11081	3173
2006	68.163265306122	4655	3173
2006	194.662576687116	1630	3173
2006	28.126939101143	11281	3173
2006	128.150242326332	2476	3173
2006	67.988000857081	4667	3173
2006	209.854497354497	1512	3173
2006	103.591250408096	3063	3173
2006	47.642642642642	6660	3173
2006	60.972328977709	5204	3173
2006	24.794873798546	12797	3173
2006	96.79682733374	3278	3173
2006	4.633003643935	7684	356
2006	8.537170263788	4170	356
2006	3.596686199232	9898	356
2006	3.034694399454	11731	356
2006	6.328888888888	5625	356
2006	7.585766034519	4693	356
2006	23.252775963422	1531	356
2006	10.20934901061	3487	356
2006	49.375866851595	721	356
2006	3.212706434437	11081	356
2006	7.647690655209	4655	356
2006	21.840490797546	1630	356
2006	3.155748603847	11281	356
2006	14.378029079159	2476	356
2006	7.62802656953	4667	356
2006	23.544973544973	1512	356
2006	11.62259222984	3063	356
2006	5.345345345345	6660	356
2006	6.840891621829	5204	356
2006	2.781902008283	12797	356
2006	10.860280658938	3278	356
2006	15.109318063508	7684	1161
2006	27.841726618705	4170	1161
2006	11.72964235199	9898	1161
2006	9.896854488108	11731	1161
2006	20.64	5625	1161
2006	24.738972938418	4693	1161
2006	75.832789026779	1531	1161
2006	33.295096071121	3487	1161
2006	161.026352288488	721	1161
2006	10.477393737027	11081	1161
2006	24.940923737916	4655	1161
